store_no,customers_unique,Store Name,Address
7626,247,,
14869,247,,
23911,247,,
41108,246,,
14494,246,,
6322,245,,
40412,245,,
15624,245,,
40005,245,,
8637,245,,
# 1809,244,,
29177,244,,
40022,244,,
29143,243,,
3992,243,,
40771,243,,
26054,242,,
4317,242,,
8638,242,,
29176,241,,
25004,241,,
29108,241,,
40651,241,,
26008,241,,
29016,241,,
12016,241,,
40450,241,,
1558,240,,
29115,240,,
6479,238,,
1269,238,,
40416,238,,
10078,238,,
21679,237,,
29038,237,,
21548,237,,
12166,236,,
12310,236,,
2591,236,,
40273,235,,
40698,235,,
29102,234,,
2632,234,,
5550,234,,
13588,233,,
8039,233,,
6194,233,,
40623,233,,
9171,232,,
40021,232,,
29722,232,,
40553,232,,
40427,232,,
6163,232,,
29717,232,,
40043,230,,
29159,230,,
3581,230,,
40308,230,,
8640,230,,
1254,230,,
18739,230,,
9037,229,,
3807,228,,
10696,228,,
8399,228,,
40279,227,,
40574,227,,
40016,227,,
7600,226,,
40396,226,,
18461,226,,
1563,226,,
2146,226,,
40039,225,,
7956,225,,
40779,225,,
3989,225,,
10867,225,,
12224,225,,
16638,224,,
40513,224,,
12418,224,,
8886,224,,
40179,224,,
40902,224,,
16636,223,,
9473,223,,
11104,223,,
40135,223,,
22857,223,,
29048,222,,
11908,222,,
40329,222,,
1516,222,,
12135,222,,
40694,221,,
21423,221,,
29106,221,,
190,221,,
11928,221,,
40215,221,,
8606,220,,
14804,220,,
9510,220,,
10127,220,,
2296,220,,
15611,219,,
3211,219,,
16129,219,,
5079,219,,
40023,219,,
11019,218,,
20703,218,,
2139,218,,
7027,217,,
40328,217,,
3226,217,,
9455,217,,
40011,215,,
14534,215,,
3730,215,,
8868,215,,
29078,214,,
7795,214,,
13357,214,,
40010,214,,
5634,214,,
8865,213,,
2784,213,,
2314,213,,
10349,212,,
29709,212,,
4389,212,,
108,212,,
21611,212,,
12362,211,,
10494,211,,
12417,211,,
5841,211,,
3312,211,,
40321,211,,
4506,211,,
107,211,,
9115,211,,
29716,210,,
22743,210,,
21444,210,,
1647,210,,
40828,209,,
6722,209,,
29097,209,,
13763,209,,
8250,209,,
40064,209,,
25010,209,,
6605,209,,
40467,209,,
19580,208,,
18239,208,,
29051,208,,
9040,208,,
40800,208,,
3548,207,,
11942,206,,
40175,206,,
40020,206,,
40432,205,,
8020,205,,
26005,205,,
25020,204,,
2546,204,,
807,204,,
18898,204,,
40417,204,,
29148,204,,
40323,204,,
26053,203,,
25014,203,,
13687,203,,
40247,203,,
5113,203,,
22716,202,,
197,202,,
29092,202,,
10216,202,,
20074,201,,
26011,201,,
22390,201,,
26038,201,,
14880,200,,
7226,200,,
4248,200,,
12136,199,,
22722,199,,
8249,199,,
40001,199,,
16352,199,,
29094,199,,
40483,198,,
7734,198,,
20785,197,,
11135,197,,
3111,197,,
40174,197,,
40518,197,,
20437,196,,
29121,196,,
101,196,,
40325,195,,
8636,195,,
40,195,,
40257,195,,
6721,195,,
16389,194,,
15853,194,,
10947,194,,
6157,193,,
4672,193,,
20911,193,,
225,192,,
40706,192,,
15764,192,,
6911,192,,
16711,192,,
14909,192,,
40426,191,,
2346,191,,
40351,191,,
40059,191,,
40474,191,,
40455,191,,
5857,190,,
16712,190,,
11147,190,,
16553,190,,
22109,190,,
2252,190,,
29040,189,,
40298,189,,
6510,188,,
26003,187,,
40295,187,,
10116,187,,
5419,187,,
40306,187,,
40429,187,,
4615,186,,
11285,186,,
1651,186,,
9092,186,,
2379,186,,
9185,186,,
5261,186,,
40244,186,,
9579,186,,
19000,185,,
9194,185,,
21445,185,,
2589,185,,
40030,185,,
29706,185,,
7177,185,,
4895,185,,
4384,185,,
22077,185,,
29098,185,,
110,185,,
7008,185,,
29703,184,,
40272,184,,
11760,184,,
4893,184,,
213,184,,
23439,184,,
23729,183,,
8866,183,,
29122,183,,
40463,183,,
15128,182,,
6066,182,,
236,182,,
112,182,,
18716,182,,
29711,182,,
40042,182,,
180,181,,
29083,181,,
29182,181,,
29022,181,,
40322,181,,
40734,181,,
9071,180,,
4132,180,,
9049,180,,
145,179,,
3938,179,,
29030,179,,
6167,179,,
10669,178,,
2137,178,,
132,178,,
5465,177,,
18999,177,,
10417,177,,
19367,177,,
13041,176,,
6239,176,,
26004,176,,
40096,176,,
8800,176,,
7265,175,,
40784,175,,
40411,175,,
40886,175,,
22209,175,,
8808,175,,
29082,174,,
8869,174,,
40266,174,,
7536,174,,
26044,174,,
29101,173,,
5707,173,,
29062,173,,
29151,173,,
5833,173,,
22565,173,,
29712,172,,
3057,172,,
40515,172,,
40487,172,,
5718,172,,
40761,171,,
29002,171,,
29074,171,,
10312,171,,
9065,171,,
22833,171,,
149,170,,
29091,170,,
6271,170,,
15920,170,,
40601,170,,
29120,170,,
26035,170,,
29112,170,,
29167,169,,
5263,169,,
4365,169,,
2544,169,,
3859,169,,
8873,168,,
10775,168,,
40393,168,,
1334,168,,
29079,167,,
888,167,,
40626,167,,
13846,167,,
29166,167,,
40255,167,,
10186,166,,
19237,166,,
19004,165,,
16902,165,,
29090,165,,
40420,165,,
7031,165,,
40284,165,,
5542,165,,
13078,164,,
106,164,,
18462,164,,
1336,164,,
2883,164,,
29086,164,,
14908,163,,
40081,163,,
29006,162,,
206,162,,
29185,161,,
40003,161,,
29732,161,,
8367,161,,
6815,161,,
3662,160,,
6741,160,,
8038,159,,
29713,159,,
5484,159,,
40768,159,,
21420,159,,
4196,159,,
21761,158,,
21520,158,,
29184,158,,
5172,158,,
21872,158,,
10504,158,,
10581,157,,
40111,157,,
2732,157,,
2685,157,,
40116,157,,
5963,157,,
26027,157,,
795,157,,
40162,157,,
2248,157,,
2246,157,,
40810,157,,
8244,156,,
104,156,,
40276,156,,
40290,156,,
40318,156,,
40049,155,,
40524,155,,
26046,155,,
40256,155,,
6364,155,,
40127,155,,
40337,155,,
7958,155,,
17867,154,,
40212,154,,
40018,154,,
10426,154,,
117,154,,
5869,154,,
17855,154,,
40075,154,,
40085,153,,
40226,153,,
40133,153,,
8083,153,,
3642,153,,
6587,153,,
12269,153,,
40054,152,,
18285,152,,
122,152,,
40353,152,,
40344,152,,
22320,152,,
9052,152,,
22946,151,,
10079,151,,
2143,151,,
22053,151,,
29718,151,,
7339,151,,
40522,151,,
29725,150,,
19072,150,,
40477,150,,
40613,150,,
23162,150,,
40517,150,,
40270,150,,
8988,149,,
40283,149,,
5133,149,,
8037,148,,
3419,148,,
4760,148,,
40745,148,,
8914,148,,
12148,148,,
10727,147,,
40265,147,,
23250,146,,
6004,146,,
13612,146,,
5717,146,,
26033,145,,
40479,145,,
40077,145,,
2488,145,,
40460,145,,
23921,145,,
40634,145,,
40370,144,,
40025,144,,
26018,144,,
3939,144,,
29187,144,,
118,144,,
11051,144,,
40609,144,,
29003,144,,
40053,143,,
6272,143,,
5549,143,,
526,143,,
19170,143,,
156,143,,
4383,143,,
40180,142,,
40094,142,,
40166,142,,
14915,142,,
2587,142,,
25035,142,,
8495,141,,
40132,141,,
40237,141,,
40223,141,,
10630,141,,
115,141,,
23916,141,,
40113,140,,
12392,140,,
40006,140,,
4062,140,,
3328,140,,
40060,140,,
2695,140,,
3472,139,,
12155,139,,
25030,139,,
19066,139,,
904,138,,
22029,138,,
40089,138,,
23160,138,,
3727,137,,
20438,137,,
40327,136,,
23799,136,,
8041,136,,
29032,136,,
40525,136,,
7157,136,,
21419,136,,
411,136,,
120,136,,
40169,136,,
40342,135,,
10284,135,,
419,135,,
25001,135,,
820,135,,
40366,135,,
10005,135,,
29139,134,,
26026,134,,
4983,134,,
25031,134,,
40389,134,,
14917,134,,
40078,134,,
5095,134,,
25017,133,,
6618,133,,
167,133,,
29020,133,,
19419,132,,
29055,132,,
40481,132,,
40836,132,,
40026,132,,
3105,132,,
29033,132,,
717,131,,
12615,131,,
886,131,,
40831,131,,
40565,131,,
40838,131,,
40703,131,,
29114,131,,
810,131,,
1787,130,,
40472,130,,
8109,130,,
4069,130,,
40068,130,,
6618,129,,
21759,129,,
16388,129,,
6811,129,,
40545,129,,
40716,128,,
23385,128,,
40147,128,,
21424,128,,
40714,128,,
40309,128,,
10991,128,,
14929,127,,
40125,127,,
40225,127,,
22248,127,,
184,127,,
29050,127,,
147,127,,
29015,127,,
40163,127,,
7760,126,,
189,126,,
40052,126,,
4192,126,,
22249,125,,
15801,125,,
6586,125,,
40326,125,,
40069,125,,
10652,125,,
40398,125,,
40167,125,,
40523,125,,
5371,125,,
17854,124,,
40893,124,,
12115,124,,
100,124,,
12250,124,,
40076,124,,
29705,124,,
8788,124,,
40067,124,,
40454,124,,
18449,123,,
